isbn,book_title,category,rental_price,status,author,publisher
978-0-104-69251-4,"Pre-Emptive Full-Range Firmware",History,9.61,yes,"William White",Doubleday
978-0-106-79758-8,"Grass-Roots Intangible Open System",Fantasy,2.12,yes,"Ryan Hunter",Knopf
978-0-109-49110-9,"Extended Modular Success",Biography,3.07,yes,"Peter Thompson",Macmillan
978-0-126-62037-8,"Open-Architected National Website",Thriller,11.96,yes,"Clarence Hernandez",Macmillan
978-0-140-42426-8,"Grass-Roots Composite Secured Line",Children,5.34,no,"David Williams","Random House"
978-0-140-95003-5,"Polarized Motivating Instruction Set",Classic,9.04,yes,"Elizabeth Miranda",Macmillan
978-0-145-11610-3,"Object-Based Didactic Collaboration",Fiction,6.72,no,"Anthony Powell","Random House"
978-0-155-82529-4,"Extended High-Level Hierarchy",Romance,11.44,no,"Mary Lucero",HarperCollins
978-0-184-53006-7,"Ameliorated Disintermediate Knowledgebase",Classic,5.85,no,"David Rowe",Doubleday
978-0-185-80570-7,"Horizontal Full-Range Customer Loyalty",Self-Help,8.72,yes,"Kristy Mccarthy",Knopf
978-0-191-56388-8,"Configurable Motivating Capability",Classic,7.97,yes,"Jose Bailey",Scholastic
978-0-202-64172-5,"Expanded Regional Circuit",Romance,6.72,yes,"Rita Wilkerson","Penguin Books"
978-0-211-84890-8,"Focused 24Hour Product",Classic,6.84,yes,"Amanda Garcia",Scholastic
978-0-214-19862-2,"Reverse-Engineered Discrete Help-Desk","Science Fiction",2.36,yes,"Angela Freeman",Doubleday
978-0-229-75836-9,"Balanced Bottom-Line Solution",Dystopia,10.7,no,"Desiree Nelson",HarperCollins
978-0-240-53652-7,"Innovative Motivating Methodology","Science Fiction",6.57,yes,"Nancy Brown",Hachette
978-0-249-51901-7,"Centralized Asymmetric Graphical User Interface",Romance,3.35,yes,"Donna Lyons","Penguin Books"
978-0-255-29555-9,"Ergonomic Global Orchestration",Children,2.85,yes,"Tony Miller",HarperCollins
978-0-271-46188-9,"Cross-Group Directional Concept",Classic,5.96,yes,"Cynthia Boyle DDS","Penguin Books"
978-0-283-60152-9,"Pre-Emptive 24Hour Throughput",Self-Help,5.27,yes,"Sheri Alvarez",Doubleday
978-0-285-28776-9,"Ergonomic Bi-Directional Neural-Net",Self-Help,6.01,yes,"William Hernandez","Penguin Books"
978-0-286-88956-5,"Networked Intermediate Artificial Intelligence",Thriller,11.68,yes,"Jennifer Davis",Doubleday
